Timestamp;Tempo;Algoritmo;Start;Goal;Capacidade;Load;Custo;Custo Total;Restantes Encomendas;Tipo de Trajeto
1668880186.7037249,12.15541696548462,Greedy Search,"(33, 14)","(27, 14)",4,2,6,100,9,Recolha de Encomenda
1668880188.354866,13.80655813217163,Greedy Search,"(27, 14)","(20, 13)",4,3,12,112,8,Recolha de Encomenda
1668880190.06802,15.519712209701538,Greedy Search,"(20, 13)","(20, 8)",4,4,5,117,7,Recolha de Encomenda
1668880191.7288535,17.180545568466187,Greedy Search,"(20, 8)","(39, 10)",4,0,0,150,6,Retorno à Base
1668880193.358107,18.809799194335938,Greedy Search,"(39, 10)","(16, 5)",4,1,38,188,6,Recolha de Encomenda
1668880195.0039918,20.455683946609497,Greedy Search,"(16, 5)","(9, 6)",4,2,12,200,5,Recolha de Encomenda
1668880196.667908,22.11960005760193,Greedy Search,"(9, 6)","(2, 4)",4,3,15,215,4,Recolha de Encomenda
1668880198.2483957,23.700087785720825,Greedy Search,"(2, 4)","(2, 16)",4,4,12,227,3,Recolha de Encomenda
1668880199.7846057,25.236297845840454,Greedy Search,"(2, 16)","(39, 10)",4,0,0,294,2,Retorno à Base
1668880201.4193852,26.871077299118042,Greedy Search,"(39, 10)","(13, 14)",4,1,40,334,2,Recolha de Encomenda
1668880203.0154305,28.467122554779053,Greedy Search,"(13, 14)","(6, 14)",4,2,11,345,1,Recolha de Encomenda
1668880204.6831443,30.134836435317993,Greedy Search,"(6, 14)","(39, 10)",4,0,0,398,0,Retorno à Base
1668880220.2449734,1.7052099704742432,A* Search,"(39, 10)","(33, 14)",4,1,14,14,14,Recolha de Encomenda
1668880221.94375,3.4039864540100098,A* Search,"(33, 14)","(27, 14)",4,2,6,20,13,Recolha de Encomenda
1668880223.5907872,5.051023721694946,A* Search,"(27, 14)","(27, 5)",4,3,9,29,12,Recolha de Encomenda
1668880225.2658248,6.7260613441467285,A* Search,"(27, 5)","(29, 7)",4,4,4,33,11,Recolha de Encomenda
1668880226.896664,8.356900453567505,A* Search,"(29, 7)","(39, 10)",4,0,0,46,10,Retorno à Base
1668880228.5914824,10.051718950271606,A* Search,"(39, 10)","(38, 5)",4,1,20,66,10,Recolha de Encomenda
1668880230.2993217,11.759558200836182,A* Search,"(38, 5)","(23, 9)",4,2,23,89,9,Recolha de Encomenda
1668880231.9348469,13.3950834274292,A* Search,"(23, 9)","(20, 8)",4,3,4,93,8,Recolha de Encomenda
1668880233.6170998,15.077336311340332,A* Search,"(20, 8)","(20, 13)",4,4,5,98,7,Recolha de Encomenda
1668880235.2728992,16.73313570022583,A* Search,"(20, 13)","(39, 10)",4,0,0,126,6,Retorno à Base
1668880236.9029906,18.363227128982544,A* Search,"(39, 10)","(16, 5)",4,1,36,162,6,Recolha de Encomenda
1668880238.5687788,20.02901530265808,A* Search,"(16, 5)","(9, 6)",4,2,12,174,5,Recolha de Encomenda
1668880240.4668818,21.9271183013916,A* Search,"(9, 6)","(2, 4)",4,3,13,187,4,Recolha de Encomenda
1668880242.2346127,23.694849252700806,A* Search,"(2, 4)","(2, 16)",4,4,12,199,3,Recolha de Encomenda
1668880243.9093578,25.36959433555603,A* Search,"(2, 16)","(39, 10)",4,0,0,246,2,Retorno à Base
1668880245.5269754,26.98721194267273,A* Search,"(39, 10)","(13, 14)",4,1,38,284,2,Recolha de Encomenda
1668880247.132675,28.5929114818573,A* Search,"(13, 14)","(6, 14)",4,2,11,295,1,Recolha de Encomenda
1668880248.7876463,30.247882843017578,A* Search,"(6, 14)","(39, 10)",4,0,0,340,0,Retorno à Base
