1668886262;24.23100829;Greedy Search;(39, 10);(13, 14);4;1;40;334;2;Recolha de Encomenda
1668886264;25.70230842;Greedy Search;(13, 14);(6, 14);4;2;11;345;1;Recolha de Encomenda
1668886265;27.23264742;Greedy Search;(6, 14);(39, 10);4;0;0;398;0;Retorno à Base
1668886273;1.578563452;A* Search;(39, 10);(33, 14);4;1;14;14;14;Recolha de Encomenda
1668886275;3.176994085;A* Search;(33, 14);(27, 14);4;2;6;20;13;Recolha de Encomenda
1668886276;4.903223515;A* Search;(27, 14);(27, 5);4;3;9;29;12;Recolha de Encomenda
1668886278;6.497060537;A* Search;(27, 5);(29, 7);4;4;4;33;11;Recolha de Encomenda
1668886280;8.126337528;A* Search;(29, 7);(39, 10);4;0;0;46;10;Retorno à Base
1668886281;9.68335247;A* Search;(39, 10);(38, 5);4;1;20;66;10;Recolha de Encomenda
1668886283;11.34292293;A* Search;(38, 5);(23, 9);4;2;23;89;9;Recolha de Encomenda
1668886285;13.08619404;A* Search;(23, 9);(20, 8);4;3;4;93;8;Recolha de Encomenda
1668886286;14.6450212;A* Search;(20, 8);(20, 13);4;4;5;98;7;Recolha de Encomenda
1668886288;16.12031722;A* Search;(20, 13);(39, 10);4;0;0;126;6;Retorno à Base
1668886289;17.71205616;A* Search;(39, 10);(16, 5);4;1;36;162;6;Recolha de Encomenda
1668886291;19.31747651;A* Search;(16, 5);(9, 6);4;2;12;174;5;Recolha de Encomenda
1668886292;20.79294753;A* Search;(9, 6);(2, 4);4;3;13;187;4;Recolha de Encomenda
1668886294;22.27745366;A* Search;(2, 4);(2, 16);4;4;12;199;3;Recolha de Encomenda
1668886295;23.75288081;A* Search;(2, 16);(39, 10);4;0;0;246;2;Retorno à Base
1668886297;25.22817302;A* Search;(39, 10);(13, 14);4;1;38;284;2;Recolha de Encomenda
1668886298;26.67235732;A* Search;(13, 14);(6, 14);4;2;11;295;1;Recolha de Encomenda
1668886300;28.12544703;A* Search;(6, 14);(39, 10);4;0;0;340;0;Retorno à Base
